Президент Садыр Жапаров принимает участие в заседании ВЕЭС,https://vesti.kg//politika/item/112586-prezident-sadyr-zhaparov-prinimaet-uchastie-v-zasedanii-vees.html
В одном из гаражей по улице Толстого в Бишкеке на мужчину упал автомобиль,https://vesti.kg//proisshestviya/item/112584-v-odnom-iz-garazhej-po-ulitse-tolstogo-v-bishkeke-na-muzhchinu-upal-avtomobil.html
ГКНБ задержал автора ложного сообщения о бомбе в школе-интернате № 21 Бишкека,https://vesti.kg//proisshestviya/item/112581-gknb-zaderzhal-avtora-lozhnogo-soobshcheniya-o-bombe-v-shkole-internate-21-bishkeka.html
Исхак Масалиев: Сколько денег поступило в бюджет от деятельности казино?,https://vesti.kg//politika/item/112580-iskhak-masaliev-skolko-deneg-postupilo-v-byudzhet-ot-deyatelnosti-kazino.html
"#Авторскийракурс. Незнайка в Жогорку Кенеше, или Вредные советы для кыргызстанской молодежи",https://vesti.kg//politika/item/112578-avtorskijrakurs-neznajka-v-zhogorku-keneshe-ili-vrednye-sovety-dlya-kyrgyzstanskoj-molodezhi.html
Правозащитники бьют тревогу. Законопроект о «НКО» может привести к абсолютной ликвидации правозащитного сектора,https://vesti.kg//politika/item/112576-pravozashchitniki-byut-trevogu-zakonoproekt-o-nko-mozhet-privesti-k-absolyutnoj-likvidatsii-pravozashchitnogo-sektora.html
В России предложили поднять зарплаты трудовым мигрантам,https://vesti.kg//zxc/item/112575-v-rossii-predlozhili-podnyat-uroven-zarplat-trudovym-migrantam.html
"В Сузаке мужчину, насиловавшего свою дочь десять лет, приговорили к пожизненному заключению",https://vesti.kg//proisshestviya/item/112573-v-suzake-muzhchinu-nasilovavshego-svoyu-doch-desyat-let-prigovorili-k-pozhiznennomu-zaklyucheniyu.html
"Эдиль Байсалов принял участие в «Последнем звонке» в школе № 68 столицы, где восемь выпускников удостоились аттестата «Алтын тамга»",https://vesti.kg//politika/item/112569-edil-bajsalov-prinyal-uchastie-v-poslednem-zvonke-v-shkole-68-stolitsy-gde-vosem-vypusknikov-udostoilis-attestata-altyn-tamga.html
"Эмиль Жамгырчиев: Будет ли моральная ответственность у сотрудников мэрии за то, что не позволили вывезти вещи из здания «Батуми»? (видео)",https://vesti.kg//politika/item/112568-emil-zhamgyrchiev-budet-li-moralnaya-otvetstvennost-u-sotrudnikov-merii-za-to-chto-ne-pozvolili-vyvezti-veshchi-iz-zdaniya-batumi.html
Снос ресторана «Батуми». Мэрия дала разъяснения,https://vesti.kg//obshchestvo/item/112566-snos-restorana-batumi-meriya-dala-razyasneniya.html
Руководство предприятия «Кыргызавтожол» присвоило свыше 10 миллионов сомов,https://vesti.kg//proisshestviya/item/112565-rukovodstvo-predpriyatiya-kyrgyzavtozhol-prisvoilo-svyshe-10-millionov-somov.html
Работу еще одного министерства Акылбек Жапаров подверг критике,https://vesti.kg//politika/item/112564-rabotu-eshche-odnogo-ministerstva-akylbek-zhaparov-podverg-kritike.html
Женишбек Токторбаев Алмасу Абытову: Почему вы здесь сидите и улыбаетесь? Вы должны плакать,https://vesti.kg//politika/item/112563-zhenishbek-toktorbaev-almasu-abytovu-pochemu-vy-zdes-sidite-i-ulybaetes-vy-dolzhny-plakat.html
